URLID,URL,TagID,Tag,Start,End,Time,State
video_validation_0000051,video_validation_0000051.mp4,20,background_background,12.5,12.5,1,1
video_validation_0000051,video_validation_0000051.mp4,20,background_background,99,99,1,1
video_validation_0000051,video_validation_0000051.mp4,20,background_background,152.5,152.5,1,1
video_validation_0000052,video_validation_0000052.mp4,20,background_background,52.5,52.5,1,1
video_validation_0000052,video_validation_0000052.mp4,20,background_background,126.5,126.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,4.5,4.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,17,17,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,30.5,30.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,43,43,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,59,59,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,69,69,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,84,84,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,93,93,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,107,107,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,120.5,120.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,133,133,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,149,149,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,158.5,158.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,171,171,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,184.5,184.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,197,197,1,1
video_validation_0000054,video_validation_0000054.mp4,20,background_background,3,3,1,1
video_validation_0000054,video_validation_0000054.mp4,20,background_background,131.5,131.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,2.5,2.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,29,29,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,54.5,54.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,79.5,79.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,91,91,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,101,101,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,111.5,111.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,124.5,124.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,149,149,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,14.5,14.5,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,23,23,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,42.5,42.5,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,52,52,1,1
